county_name,precinct_name,school
WAKE,PRECINCT 01-23,North Carolina State University
ORANGE,UNC,University of North Carolina at Chapel Hill
MECKLENBURG,141,University of North Carolina at Charlotte
,,East Carolina University
,,University of North Carolina at Greensboro
WATAUGA,BOONE 2,Appalachian State University
WATAUGA,BOONE 3,Appalachian State University
DURHAM,2,Duke University
DURHAM,5,Duke University
,,University of North Carolina at Wilmington
,,North Carolina Agricultural and Technical State University
JACKSON,CULLOWHEE,Western Carolina University
DURHAM,55-11,North Carolina Central University
DURHAM,55-19,North Carolina Central University
FORSYTH,903,Wake Forest University
FORSYTH,905,Wake Forest University
,,Elon University
,,Campbell University
,,University of North Carolina at Pembroke
,,Fayetteville State University
FORSYTH,405,Winston-Salem State University
,,High Point University
BUNCOMBE,28.1,University of North Carolina at Asheville
